task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
14	a5/de4846	33880	fastcat (12)	COMPLETED	0	2023-06-12 14:52:06.264	1.9s	82ms	30.3%	2.6 MB	3.8 MB	173.4 KB	79.7 KB
12	1f/3165f3	33889	fastcat (10)	COMPLETED	0	2023-06-12 14:52:06.270	3.7s	1.6s	61.5%	6.8 MB	15.3 MB	17.3 MB	16.1 MB
11	b8/ad1179	33996	fastcat (9)	COMPLETED	0	2023-06-12 14:52:08.159	3.5s	1.7s	59.5%	6.7 MB	15.3 MB	17.1 MB	15.9 MB
6	4d/325775	34036	fastcat (4)	COMPLETED	0	2023-06-12 14:52:09.961	2.3s	243ms	52.7%	2.9 MB	3.8 MB	1.6 MB	1.4 MB
4	66/aa5fd2	33866	fastcat (2)	COMPLETED	0	2023-06-12 14:52:06.242	6.8s	4.8s	60.3%	8.6 MB	15.3 MB	57.2 MB	50.8 MB
10	37/806189	34146	fastcat (8)	COMPLETED	0	2023-06-12 14:52:13.007	2.1s	116ms	38.5%	2.9 MB	3.8 MB	462.7 KB	341.3 KB
8	1c/8b202b	34183	fastcat (6)	COMPLETED	0	2023-06-12 14:52:15.103	2.1s	108ms	23.8%	2.7 MB	3.8 MB	178.1 KB	83.3 KB
7	69/11732d	33877	fastcat (5)	COMPLETED	0	2023-06-12 14:52:06.259	11.8s	9.5s	66.5%	8.3 MB	15.3 MB	104 MB	97.5 MB
1	e0/acf643	34220	pipeline:getVersions	COMPLETED	0	2023-06-12 14:52:17.214	2.9s	543ms	67.0%	11.3 MB	15.3 MB	1 MB	719.8 KB
2	c5/1075e8	34255	pipeline:getParams	COMPLETED	0	2023-06-12 14:52:18.098	2.4s	87ms	42.3%	1 MB	3.8 MB	56.3 KB	943 B
9	1d/1eea1f	34288	fastcat (7)	COMPLETED	0	2023-06-12 14:52:20.110	2.3s	242ms	32.3%	2.8 MB	3.8 MB	734 KB	584.9 KB
5	4a/a04ab2	34325	fastcat (3)	COMPLETED	0	2023-06-12 14:52:20.537	2.8s	809ms	58.0%	2.7 MB	3.8 MB	10.3 MB	7.6 MB
16	27/33fe8d	34397	pipeline:collectFastqIngressResultsInDir (1)	COMPLETED	0	2023-06-12 14:52:23.295	2.4s	115ms	28.7%	2.8 MB	3.8 MB	73.5 KB	267 B
3	16/9dcff1	34073	fastcat (1)	COMPLETED	0	2023-06-12 14:52:11.655	14.3s	12.2s	53.7%	6.9 MB	15.2 MB	156.8 MB	119 MB
13	f4/2ddf59	34110	fastcat (11)	COMPLETED	0	2023-06-12 14:52:12.291	15.3s	12.9s	65.4%	8.3 MB	15.3 MB	125.7 MB	117.7 MB
17	04/32ad26	34443	pipeline:collectFastqIngressResultsInDir (2)	COMPLETED	0	2023-06-12 14:52:25.736	3s	132ms	27.9%	2.7 MB	3.8 MB	73.5 KB	267 B
