read_id	filename	sample_name	read_length	mean_quality	channel	read_number	start_time
897b6949-1836-4984-8e62-3193b3a4db4e	barcode24/FAS85214_pass_barcode24_53d112c1_0.fastq.gz	barcode24	375	10.35	54	1344	2022-11-09T11:04:31.753060+00:00
ce856c27-1e60-461c-8591-ae8a7353d27f	barcode24/FAS85214_pass_barcode24_53d112c1_0.fastq.gz	barcode24	381	12.28	94	5248	2022-11-09T11:10:33.753060+00:00
b477347d-e02f-4068-9e2c-4c2c73f834d2	barcode24/FAS85214_pass_barcode24_53d112c1_0.fastq.gz	barcode24	390	10.46	197	5545	2022-11-09T11:12:40.753060+00:00
d0255582-0fca-4b44-91cf-7ad1edc10ba0	barcode24/FAS85214_pass_barcode24_53d112c1_0.fastq.gz	barcode24	960	15.01	223	6302	2022-11-09T11:12:51.753060+00:00
9fd9e159-8e88-46a9-9847-d253cb40dc93	barcode24/FAS85214_pass_barcode24_53d112c1_0.fastq.gz	barcode24	694	12.60	428	7691	2022-11-09T11:16:15.753060+00:00
1935d1b3-337a-42f6-b256-d90c14360aa4	barcode24/FAS85214_pass_barcode24_53d112c1_0.fastq.gz	barcode24	538	14.21	357	8907	2022-11-09T11:16:19.753060+00:00
76f164b8-d371-42f8-9941-eda70af0e0c5	barcode24/FAS85214_pass_barcode24_53d112c1_0.fastq.gz	barcode24	172	10.88	362	11982	2022-11-09T11:22:09.753060+00:00
e1d1f4ef-d4cb-4740-8355-6fcb00153e3a	barcode24/FAS85214_pass_barcode24_53d112c1_0.fastq.gz	barcode24	717	14.28	131	13195	2022-11-09T11:26:16.753060+00:00
31f8427e-2416-42d2-aefb-0e27e7e841b2	barcode24/FAS85214_pass_barcode24_53d112c1_0.fastq.gz	barcode24	193	10.23	182	12332	2022-11-09T11:26:42.753060+00:00
e3baeb44-d6f2-4b73-835b-7448f71c7ef9	barcode24/FAS85214_pass_barcode24_53d112c1_0.fastq.gz	barcode24	790	12.52	356	14081	2022-11-09T11:27:35.753060+00:00
82b51d2a-a92f-43ca-8cb5-3234835e05cc	barcode24/FAS85214_pass_barcode24_53d112c1_0.fastq.gz	barcode24	357	12.65	163	16283	2022-11-09T11:32:29.753060+00:00
