filename	sample_name	n_seqs	n_bases	min_length	max_length	mean_quality
barcode44/fastq_runid_354f7beffed3a03754b80e5379daeeddcecb231b_0.fastq	barcode44	4000	2343056	145	1935	12.25
barcode44/fastq_runid_354f7beffed3a03754b80e5379daeeddcecb231b_1.fastq	barcode44	4000	2401378	136	1715	12.27
barcode44/fastq_runid_354f7beffed3a03754b80e5379daeeddcecb231b_10.fastq	barcode44	4000	2405833	133	1409	12.30
barcode44/fastq_runid_354f7beffed3a03754b80e5379daeeddcecb231b_11.fastq	barcode44	4000	2430075	132	1771	12.27
barcode44/fastq_runid_354f7beffed3a03754b80e5379daeeddcecb231b_12.fastq	barcode44	4000	2421846	158	1685	12.28
barcode44/fastq_runid_354f7beffed3a03754b80e5379daeeddcecb231b_13.fastq	barcode44	2813	1711159	140	1529	12.37
barcode44/fastq_runid_354f7beffed3a03754b80e5379daeeddcecb231b_2.fastq	barcode44	4000	2311369	151	1532	12.28
barcode44/fastq_runid_354f7beffed3a03754b80e5379daeeddcecb231b_3.fastq	barcode44	4000	2422879	130	1711	12.37
barcode44/fastq_runid_354f7beffed3a03754b80e5379daeeddcecb231b_4.fastq	barcode44	4000	2414523	155	1525	12.43
barcode44/fastq_runid_354f7beffed3a03754b80e5379daeeddcecb231b_5.fastq	barcode44	4000	2393825	140	1670	12.29
barcode44/fastq_runid_354f7beffed3a03754b80e5379daeeddcecb231b_6.fastq	barcode44	4000	2421338	140	1986	12.28
barcode44/fastq_runid_354f7beffed3a03754b80e5379daeeddcecb231b_7.fastq	barcode44	4000	2332687	127	1302	12.26
barcode44/fastq_runid_354f7beffed3a03754b80e5379daeeddcecb231b_8.fastq	barcode44	4000	2390896	149	1604	12.26
barcode44/fastq_runid_354f7beffed3a03754b80e5379daeeddcecb231b_9.fastq	barcode44	4000	2416618	141	1715	12.32
