read_id	filename	sample_name	read_length	mean_quality	channel	read_number	start_time
c86b513e-0272-4aed-b1e8-8cf8fa2009c7	barcode47/FAS85214_pass_barcode47_53d112c1_0.fastq.gz	barcode47	125	9.66	323	3331	2022-11-09T11:09:32.753060+00:00
ff0d72c5-453d-530b-b871-c666010a296c	barcode47/FAS85214_pass_barcode47_53d112c1_0.fastq.gz	barcode47	117	9.48	391	10781	2022-11-09T11:19:49.753060+00:00
d07b0258-adf1-481f-9bb3-9eb17494d6b1	barcode47/FAS85214_pass_barcode47_53d112c1_0.fastq.gz	barcode47	146	12.13	184	16690	2022-11-09T11:34:11.753060+00:00
0e44e0bc-0072-5e95-bc71-f5c58b6f280b	barcode47/FAS85214_pass_barcode47_53d112c1_0.fastq.gz	barcode47	105	12.39	219	21129	2022-11-09T11:41:01.753060+00:00
5012efe0-b2c1-4134-8654-bf46365d9f74	barcode47/FAS85214_pass_barcode47_53d112c1_0.fastq.gz	barcode47	195	10.45	468	26656	2022-11-09T11:51:20.753060+00:00
2595dc9a-19aa-40cc-9bbb-f5244cee98f3	barcode47/FAS85214_pass_barcode47_53d112c1_0.fastq.gz	barcode47	199	10.69	501	30262	2022-11-09T11:56:18.753060+00:00
fe776991-c503-48bf-94f8-42ae3c7fc8e3	barcode47/FAS85214_pass_barcode47_53d112c1_0.fastq.gz	barcode47	109	9.54	509	34712	2022-11-09T12:04:01.753060+00:00
0f39f4c2-1495-4a07-b155-626e9ffa9c4d	barcode47/FAS85214_pass_barcode47_53d112c1_0.fastq.gz	barcode47	123	14.15	419	44344	2022-11-09T12:22:04.753060+00:00
e7de0bdb-c0fd-45e7-b5d8-42bcc10e7647	barcode47/FAS85214_pass_barcode47_53d112c1_0.fastq.gz	barcode47	182	9.74	78	48812	2022-11-09T12:29:53.753060+00:00
0972b1be-71a2-4ac4-b135-65acb85b7365	barcode47/FAS85214_pass_barcode47_53d112c1_0.fastq.gz	barcode47	113	9.97	183	45328	2022-11-09T12:31:59.753060+00:00
5075009e-6287-4312-b6c7-49b75024a457	barcode47/FAS85214_pass_barcode47_53d112c1_0.fastq.gz	barcode47	117	10.36	418	47154	2022-11-09T12:36:56.753060+00:00
