read_id	filename	sample_name	read_length	mean_quality	channel	read_number	start_time
19efc7f3-11bc-46f9-b47e-dc361833a24b	barcode93/reads.fastq	barcode93	1130	13.01	123	15636	2021-11-24T16:20:38Z
1fad75d3-f6e4-458c-ad99-76c580e5a84f	barcode93/reads.fastq	barcode93	1228	14.24	89	16549	2021-11-24T16:28:59Z
40d8afd7-3219-4bcf-9d42-03873adb891d	barcode93/reads.fastq	barcode93	1141	13.65	38	18828	2021-11-24T16:24:36Z
4533ac33-bc1e-478c-a999-2052677ab922	barcode93/reads.fastq	barcode93	1117	12.12	165	16025	2021-11-24T16:24:25Z
70950965-a8d6-470c-a49c-565f2e5bfdda	barcode93/reads.fastq	barcode93	1124	14.44	200	20715	2021-11-24T16:24:33Z
d819797f-5966-4012-ba0c-e3280380372e	barcode93/reads.fastq	barcode93	1062	12.69	4	19357	2021-11-24T16:46:19Z
ffc6e86f-4b96-4024-8b28-56b981b0eb1a	barcode93/reads.fastq	barcode93	1134	15.53	239	21078	2021-11-24T16:55:51Z
dbdda2a2-a7e6-48ea-8bb5-317da359516c	barcode93/reads.fastq	barcode93	1213	13.11	94	20936	2021-11-24T16:53:47Z
dfa8effb-31b9-4aac-8a60-4e34fd3c15dd	barcode93/reads.fastq	barcode93	1222	14.90	54	18911	2021-11-24T16:19:44Z
05d30f19-4ad6-4f87-ae01-888ecc5f7c14	barcode93/reads.fastq	barcode93	1279	14.49	107	16839	2021-11-24T16:30:54Z
2aa043ab-bd14-4020-8197-e4d1577f0504	barcode93/reads.fastq	barcode93	245	12.66	184	15019	2021-11-24T15:58:41Z
57e1000c-368f-4b3a-b072-8ce8ffdc38ab	barcode93/reads.fastq	barcode93	1127	14.24	172	15493	2021-11-24T16:02:25Z
63eef64b-1f5c-4353-85bd-39821af72937	barcode93/reads.fastq	barcode93	1188	13.13	65	10022	2021-11-24T15:56:47Z
656eca18-2e98-4852-9137-08032b77b950	barcode93/reads.fastq	barcode93	1281	13.17	78	17605	2021-11-24T15:41:21Z
6ddbf147-513b-4318-b078-372465e4018c	barcode93/reads.fastq	barcode93	243	11.25	6	25452	2021-11-24T16:10:28Z
750b5b38-068f-4a80-bbf4-d139118a826c	barcode93/reads.fastq	barcode93	1240	14.21	116	14515	2021-11-24T15:25:55Z
9c95222b-f3ac-42e3-9a55-04f50da44558	barcode93/reads.fastq	barcode93	1116	16.07	106	12206	2021-11-24T15:11:32Z
b08a38e5-8074-43e0-b518-4224e80105e9	barcode93/reads.fastq	barcode93	905	13.48	362	13418	2021-11-24T15:30:45Z
b12ac340-51c2-4977-b8ee-0fa5ff1a22f2	barcode93/reads.fastq	barcode93	897	13.57	116	17238	2021-11-24T16:02:16Z
b82c89a6-9201-45d8-a16b-89b6759176bd	barcode93/reads.fastq	barcode93	584	13.54	13	12161	2021-11-24T14:55:28Z
ee4d8ae9-9d6c-432b-9c49-69e42862ee60	barcode93/reads.fastq	barcode93	1270	15.27	82	18929	2021-11-24T16:10:12Z
f1f4e133-21ea-43de-bc0b-172a1817c4bc	barcode93/reads.fastq	barcode93	1082	13.47	122	16187	2021-11-24T16:13:11Z
f2aeca4a-7dd7-4ecc-adc6-a383b81d0ae8	barcode93/reads.fastq	barcode93	1107	11.52	1	12389	2021-11-24T15:41:59Z
f7787a83-8421-4232-a924-f6f258db5b48	barcode93/reads.fastq	barcode93	1211	15.49	346	11196	2021-11-24T16:15:07Z
8ced3649-d1fe-426b-a4ec-5143c70caf6b	barcode93/reads.fastq	barcode93	905	13.15	5	11677	2021-11-24T14:53:15Z
f7e38f7f-fd13-4665-a03e-bb0151aeedf0	barcode93/reads.fastq	barcode93	973	14.97	243	11806	2021-11-24T15:26:30Z
155527cd-2de4-4700-81db-2b9f5570b004	barcode93/reads.fastq	barcode93	1222	14.32	385	11895	2021-11-24T15:30:07Z
1cd401a3-bf11-437d-b436-2c9f7e9add76	barcode93/reads.fastq	barcode93	1101	10.75	11	12108	2021-11-24T15:02:39Z
22b21119-30b5-416d-8e5c-17cc93671994	barcode93/reads.fastq	barcode93	1227	15.47	129	17063	2021-11-24T16:15:05Z
344fa480-902a-48b5-8433-e1e7a3ac88c6	barcode93/reads.fastq	barcode93	1274	14.77	80	15309	2021-11-24T15:41:27Z
3787c92f-d097-4873-8628-ea10dd01df81	barcode93/reads.fastq	barcode93	1222	12.75	69	14791	2021-11-24T15:36:14Z
476f9c26-ebca-4fce-970d-72472c062ba5	barcode93/reads.fastq	barcode93	1125	14.10	177	13160	2021-11-24T15:11:09Z
49a4bb59-4d24-4710-b007-0a89d22bb024	barcode93/reads.fastq	barcode93	1181	13.65	142	13983	2021-11-24T15:26:39Z
e24c65f1-7d01-43c8-9ea9-731ed84f78d7	barcode93/reads.fastq	barcode93	264	13.81	57	15310	2021-11-24T16:10:10Z
32597da9-e671-4a0f-9738-0e4ef9d86b0f	barcode93/reads.fastq	barcode93	155	11.44	286	25592	2021-11-24T16:55:45Z
7497b9af-4939-4601-902a-77d46461de4f	barcode93/reads.fastq	barcode93	1115	14.29	103	18163	2021-11-24T16:22:43Z
8d1d4b96-fa26-4658-b1a8-fdba8cf558b6	barcode93/reads.fastq	barcode93	1280	10.01	29	12320	2021-11-24T15:06:05Z
996f1cd0-50cb-42c8-9978-600cc2ee6988	barcode93/reads.fastq	barcode93	424	13.23	160	17654	2021-11-24T16:21:15Z
bf268caf-999a-439a-b2d4-0b9d66763668	barcode93/reads.fastq	barcode93	1170	11.66	38	19989	2021-11-24T16:37:54Z
c15b9c8e-288e-4965-96f7-35a748a2d296	barcode93/reads.fastq	barcode93	2022	12.30	147	17846	2021-11-24T16:02:16Z
c2af26bc-bed8-4f67-8d1c-b85c903ef729	barcode93/reads.fastq	barcode93	877	10.95	138	48273	2021-11-24T15:55:20Z
e76e60a6-e140-4e3a-8b0f-7aa1a89457c9	barcode93/reads.fastq	barcode93	1123	14.57	115	16600	2021-11-24T16:17:59Z
fe50b2b5-9025-43ed-8e6f-c17f87a6c12a	barcode93/reads.fastq	barcode93	1358	12.71	495	18746	2021-11-24T16:14:54Z
b8179d51-714d-4de0-bb03-07f5a5641f11	barcode93/reads.fastq	barcode93	1902	11.79	176	18258	2021-11-24T16:18:05Z
bda90888-d0a0-4484-8511-98ecf356c56f	barcode93/reads.fastq	barcode93	511	13.43	11	10791	2021-11-24T14:44:52Z
d3230cc2-e37b-4d3c-a49b-25275ae345f4	barcode93/reads.fastq	barcode93	1132	15.40	114	17611	2021-11-24T15:48:56Z
d3701722-82ca-4e4c-8a35-a32bf486bc75	barcode93/reads.fastq	barcode93	1262	14.08	30	16484	2021-11-24T16:08:56Z
1be8cbba-0700-47f8-b46f-b35939a704f2	barcode93/reads.fastq	barcode93	1359	14.11	400	19244	2021-11-24T16:47:43Z
