read_id	filename	sample_name	read_length	mean_quality	channel	read_number	start_time
13ef1ea9-6d15-4829-88f8-db92df1f212f	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	108	10.69	416	1578	2022-11-09T11:05:31.753060+00:00
fbfb41b7-9f1c-4f2d-8a54-7725411ca5be	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	364	13.19	195	1743	2022-11-09T11:05:47.753060+00:00
26fd9bb8-f6c2-4868-a71d-9c1138614aa8	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	451	13.13	473	2279	2022-11-09T11:06:29.753060+00:00
324790cb-3713-4761-8435-8a701cf6f1ca	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	938	13.88	39	2431	2022-11-09T11:06:55.753060+00:00
5d26ef73-4b01-4dd1-acee-9e1ae9a81fc7	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	1101	14.56	148	2854	2022-11-09T11:07:22.753060+00:00
604d3e60-a8c0-44be-a56b-811ae42e8d0a	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	204	11.44	464	3263	2022-11-09T11:07:35.753060+00:00
ae058f24-36e0-4390-9091-819a9bc3d406	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	910	15.33	357	3450	2022-11-09T11:07:42.753060+00:00
f39488a3-44df-4ae9-abb4-52539cbaddbc	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	364	16.41	126	4494	2022-11-09T11:10:40.753060+00:00
031f55bc-1c2b-4b80-b747-cf6bd5dec485	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	292	10.45	92	6155	2022-11-09T11:13:11.753060+00:00
c2c3dc86-220e-47b2-85a2-5a8add73d654	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	232	12.10	208	6090	2022-11-09T11:13:33.753060+00:00
