read_id	filename	sample_name	read_length	mean_quality	channel	read_number	start_time
9d7254f7-4091-47d1-bc07-57b8dab600e3	barcode96/FAS85214_pass_barcode96_53d112c1_0.fastq.gz	barcode96	154	9.32	455	4089	2022-11-09T11:11:02.753060+00:00
dd7f9543-a041-4d07-aa8f-364158e897b3	barcode96/FAS85214_pass_barcode96_53d112c1_0.fastq.gz	barcode96	179	10.62	303	13954	2022-11-09T11:26:27.753060+00:00
f2d99644-f86f-4549-b165-d2dcf1a6675e	barcode96/FAS85214_pass_barcode96_53d112c1_0.fastq.gz	barcode96	123	10.09	126	12297	2022-11-09T11:26:46.753060+00:00
9838a8b6-97e5-49d3-be30-362d6f5b553e	barcode96/FAS85214_pass_barcode96_53d112c1_0.fastq.gz	barcode96	133	12.39	455	19523	2022-11-09T11:37:59.753060+00:00
03b73878-e47e-4133-964e-489f98f74441	barcode96/FAS85214_pass_barcode96_53d112c1_0.fastq.gz	barcode96	174	13.77	476	22136	2022-11-09T11:41:14.753060+00:00
df6ec541-e4c9-4672-834e-ee0536784863	barcode96/FAS85214_pass_barcode96_53d112c1_0.fastq.gz	barcode96	192	11.66	373	19857	2022-11-09T11:53:20.753060+00:00
7d27ce09-9c76-41b5-a576-3e3358838743	barcode96/FAS85214_pass_barcode96_53d112c1_0.fastq.gz	barcode96	1291	11.50	119	50945	2022-11-09T12:40:44.753060+00:00
554e8916-4f5f-57f3-8ea1-c0cf93e10662	barcode96/FAS85214_pass_barcode96_53d112c1_0.fastq.gz	barcode96	117	10.76	165	53560	2022-11-09T12:45:58.753060+00:00
c90b6ff7-b670-43e1-9424-797f4b070943	barcode96/FAS85214_pass_barcode96_53d112c1_0.fastq.gz	barcode96	102	9.53	376	46734	2022-11-09T12:51:30.753060+00:00
ac901dc0-7f1f-40d9-aecf-baa221137d45	barcode96/FAS85214_pass_barcode96_53d112c1_0.fastq.gz	barcode96	179	9.93	473	51370	2022-11-09T12:52:39.753060+00:00
e8daa0d9-8df2-4639-bf3c-fea38e991e6e	barcode96/FAS85214_pass_barcode96_53d112c1_0.fastq.gz	barcode96	991	9.49	186	61512	2022-11-09T13:00:55.753060+00:00
5b2ed8d4-70e6-48db-a775-08206f7575c2	barcode96/FAS85214_pass_barcode96_53d112c1_0.fastq.gz	barcode96	170	10.17	508	70653	2022-11-09T13:11:43.753060+00:00
db205e6e-1637-4a48-a8e0-2a7ee8e6f47b	barcode96/FAS85214_pass_barcode96_53d112c1_0.fastq.gz	barcode96	146	11.08	31	67758	2022-11-09T13:14:36.753060+00:00
e9d66c6a-e515-481b-8865-904bc862600f	barcode96/FAS85214_pass_barcode96_53d112c1_0.fastq.gz	barcode96	127	9.25	291	62768	2022-11-09T13:16:08.753060+00:00
d4e9009e-133b-4e0d-9747-d10054358c2b	barcode96/FAS85214_pass_barcode96_53d112c1_0.fastq.gz	barcode96	168	9.56	353	57776	2022-11-09T13:20:25.753060+00:00
fea8792a-5e68-4f65-9eab-a7246846b699	barcode96/FAS85214_pass_barcode96_53d112c1_0.fastq.gz	barcode96	123	9.47	180	73592	2022-11-09T13:21:54.753060+00:00
ce481272-6d06-41c6-8307-dd295b5740d9	barcode96/FAS85214_pass_barcode96_53d112c1_0.fastq.gz	barcode96	207	9.88	409	71594	2022-11-09T13:29:22.753060+00:00
9938360f-0119-57c6-b814-a1d13b855142	barcode96/FAS85214_pass_barcode96_53d112c1_0.fastq.gz	barcode96	113	9.95	175	70409	2022-11-09T13:37:57.753060+00:00
