read_id	filename	sample_name	read_length	mean_quality	channel	read_number	start_time
2839dc30-b52a-4f73-9ba7-c3e9532908bd	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	504	14.11	208	21	2022-11-09T11:01:35.753060+00:00
5ab8d21f-3f06-4e51-b7bb-6bcc9902d71a	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	750	12.98	46	80	2022-11-09T11:01:39.753060+00:00
5728a848-ea81-4181-a339-25cafecb7fab	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	268	10.03	248	135	2022-11-09T11:01:46.753060+00:00
8bc38873-4e9a-47ea-8e34-cd28f13e1112	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	877	13.33	220	161	2022-11-09T11:01:45.753060+00:00
1634b167-840b-40f7-b3f9-95b53ade5d0c	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	488	10.48	346	121	2022-11-09T11:01:46.753060+00:00
81f69e15-63f2-445b-a16c-ebb3360359bc	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	924	13.99	389	164	2022-11-09T11:01:45.753060+00:00
95b84f13-85c1-46d5-ba46-e6269410383b	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	394	12.05	504	25	2022-11-09T11:01:59.753060+00:00
209f36e3-ed5d-457c-8095-414d783f4313	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	377	10.78	4	162	2022-11-09T11:02:01.753060+00:00
9831b2b0-ca3d-4cb0-8422-54b333819ff3	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	288	11.89	483	56	2022-11-09T11:02:03.753060+00:00
3ef0c8d5-49c6-4749-adf6-4187b83909ec	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	520	12.04	499	165	2022-11-09T11:02:04.753060+00:00
cffbf3c2-893c-4923-b7bb-a0bad04cee3f	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	876	12.94	382	221	2022-11-09T11:02:03.753060+00:00
76653726-5e93-4e54-b0a3-5eaa06974231	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	334	11.40	380	141	2022-11-09T11:02:04.753060+00:00
2bfefffa-7918-43ce-9ff4-497ed5780869	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	580	14.26	460	253	2022-11-09T11:02:04.753060+00:00
9fb16e63-cb7a-46b9-a2f2-a304aca6c107	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	421	10.85	14	332	2022-11-09T11:02:08.753060+00:00
af14309c-172b-48bc-8902-f57b09c85370	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	406	10.57	129	183	2022-11-09T11:02:23.753060+00:00
8e6dff73-9a0a-4674-baed-3b5cbc15f768	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	363	11.48	327	251	2022-11-09T11:02:26.753060+00:00
34dc9227-704d-4b6b-920f-f9f534f81845	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	308	11.80	286	340	2022-11-09T11:02:27.753060+00:00
4f4b27c0-01ec-4069-a01b-cef3044e3c83	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	565	9.80	89	167	2022-11-09T11:02:25.753060+00:00
aeeb63df-332b-4f14-bbc8-49c3ae2417fb	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	269	10.57	173	353	2022-11-09T11:02:28.753060+00:00
191572c9-2b68-4200-b898-65db2f1edaaa	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	520	13.28	273	241	2022-11-09T11:02:30.753060+00:00
783be245-aacc-4162-a222-069098e1937a	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	280	12.15	297	311	2022-11-09T11:02:32.753060+00:00
8eaa5061-4997-40f0-b36e-9b67ba65a069	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	320	10.11	71	311	2022-11-09T11:02:52.753060+00:00
2ce775c8-2de2-4dfa-82cf-ccd730a1ce19	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	640	12.25	280	556	2022-11-09T11:02:53.753060+00:00
d0c1ca6a-9420-4088-8d7d-d02d4eeeef20	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	986	14.44	113	400	2022-11-09T11:02:52.753060+00:00
7c474ed5-e782-4bbe-b47e-fdf8d22c8b4f	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	315	15.16	204	620	2022-11-09T11:02:55.753060+00:00
74ae0032-748c-429c-a90c-bc4660c38de7	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	341	13.04	351	353	2022-11-09T11:02:55.753060+00:00
7f9adc01-95a6-4da2-8d1d-5d878ffb123d	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	476	11.33	21	544	2022-11-09T11:02:57.753060+00:00
fa347b32-bfac-4183-a346-b2db52ce40a0	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	860	14.78	411	136	2022-11-09T11:03:08.753060+00:00
62808722-c8ce-4b88-ab04-ea6e4e3ee0c8	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	739	13.43	415	769	2022-11-09T11:03:09.753060+00:00
dbd19c02-1041-421a-9194-0ce56ba33209	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	317	10.91	368	507	2022-11-09T11:03:13.753060+00:00
52b749fe-1cf8-496f-bf0c-20e06cb607ea	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	278	13.54	160	381	2022-11-09T11:03:13.753060+00:00
fd212189-a694-4f42-a757-e13ef3360f0f	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	384	11.91	248	444	2022-11-09T11:03:13.753060+00:00
4f42314f-2073-4675-9a0a-c2285ee9a5b3	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	253	11.94	495	402	2022-11-09T11:03:16.753060+00:00
71e54161-713d-43dd-a2b7-4d5772c38a38	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	239	14.14	87	588	2022-11-09T11:03:16.753060+00:00
517c24d1-35f2-40cd-829f-dec930e65d51	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	640	13.92	294	543	2022-11-09T11:03:15.753060+00:00
3089c08e-3a02-46c2-bf16-4097bc8c7220	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	466	12.94	280	688	2022-11-09T11:03:16.753060+00:00
10f0b2a6-98b9-4095-a734-cd4708650843	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	811	14.33	140	544	2022-11-09T11:03:14.753060+00:00
bbdbc872-2992-413f-968d-1ec5d9851878	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	372	11.39	306	438	2022-11-09T11:03:17.753060+00:00
2ea90ab0-bc1f-4244-9e28-3626f5480b12	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	185	12.73	432	370	2022-11-09T11:03:18.753060+00:00
887d6942-14b1-4656-ad91-4ac3be03a524	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	788	9.55	448	433	2022-11-09T11:03:17.753060+00:00
a4a63852-3c7c-46ab-9226-0a3dfbf10c4e	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	595	14.08	472	550	2022-11-09T11:03:18.753060+00:00
32b4076f-29c3-4f24-aaf0-50f7bfb63816	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	272	10.05	90	553	2022-11-09T11:03:19.753060+00:00
7ef9c1fd-10dd-402b-8891-8a90afa4e0e2	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	965	14.07	440	659	2022-11-09T11:03:20.753060+00:00
410fe17a-7780-4525-b5fb-5e5a4b1ae307	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	988	10.74	215	531	2022-11-09T11:03:21.753060+00:00
409ca367-8205-473c-9ead-cd12e7bd3333	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	330	13.71	315	730	2022-11-09T11:03:24.753060+00:00
55d18cd3-b5ba-4ede-b17e-7a95d92f168d	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	645	12.51	330	302	2022-11-09T11:03:23.753060+00:00
aaacc45a-55ea-42a9-b383-774f74ddeeda	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	301	10.75	76	460	2022-11-09T11:03:25.753060+00:00
08195696-e4ab-4b92-923f-a88c0314bd4a	barcode99/FAS85214_pass_barcode08_53d112c1_0.fastq.gz	barcode99	744	12.16	354	605	2022-11-09T11:03:24.753060+00:00
